Female: male
Tumulus burial ratio Indeterminate Total
Giessübel- 5:6 8 19
Talhau Tumulus 1
Giessübel- 2:3 2 7
Talhau Tumulus 3
Giessübel- 11:5 8 24
Talhau Tumulus 4
Hohmichele 6:3 6 15
Heuneburg Grave A70 1:0 0 1
Speckhau Tumulus 17 1:4 0 5
Speckhau Tumulus 18 7:2 7 16
Satzet-Süd Tumulus 14 9:1 11 21
Total 42:24 42 108
